,category,contract_address,from,time,to,token,value,blockchain,ticker,decimal,calc_value
28,in,0xe55e19fb4f2d85af758950957714292dac1e25b2,0x037d2726971fb81a54b16a04565dc8d853052409,2022-04-13 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,Synapse,2.0925790490321194e+20,fantom,SYN,18.0,209.2579049032119
29,in,0xed2a7edd7413021d440b09d654f3b87712abab66,0xaf41a65f786339e7911f4acdad6bd49426f2dc6b,2021-11-15 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,nUSD,4.423365108327959e+22,fantom,nUSD,18.0,44233.65108327958
30,in,0x049d68029688eabf473097a2fc38ef61633a3c7a,0x080f6aed32fc474dd5717105dba5ea57268f46eb,2022-03-09 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,Frapped USDT,2533571326.0,fantom,fUSDT,6.0,2533.5713259999998
33,in,0xed2a7edd7413021d440b09d654f3b87712abab66,0x2913e812cf0dcca30fb28e6cac3d2dcff4497688,2021-11-15 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,nUSD,6.635073997534011e+21,fantom,nUSD,18.0,6635.073997534009
34,in,0x049d68029688eabf473097a2fc38ef61633a3c7a,0x080f6aed32fc474dd5717105dba5ea57268f46eb,2023-05-24 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,Frapped USDT,35613063.0,fantom,fUSDT,6.0,35.613063
35,in,0xed2a7edd7413021d440b09d654f3b87712abab66,0x1f6a0656ff5061930076bf0386b02091e0839f9f,2021-11-15 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,nUSD,1.3497605919286088e+22,fantom,nUSD,18.0,13497.605919286087
36,in,0x049d68029688eabf473097a2fc38ef61633a3c7a,0x2913e812cf0dcca30fb28e6cac3d2dcff4497688,2023-05-24 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,Frapped USDT,9051288908.0,fantom,fUSDT,6.0,9051.288908
37,in,0xb94e7b8a61a9a5be65053684e8cae71134eb6fd1,0x2d407ddb06311396fe14d4b49da5f0471447d45c,2022-02-12 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,veNFT,727329.0,fantom,veNFT,18.0,7.273289999999999e-13
38,in,0xed2a7edd7413021d440b09d654f3b87712abab66,0x85662fd123280827e11c59973ac9fcbe838dc3b4,2023-05-24 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,nUSD,2.4766749094551705e+22,fantom,nUSD,18.0,24766.749094551702
39,in,0xed2a7edd7413021d440b09d654f3b87712abab66,0x2913e812cf0dcca30fb28e6cac3d2dcff4497688,2023-05-24 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,nUSD,3.5699463435116144e+20,fantom,nUSD,18.0,356.9946343511614
40,in,0xed2a7edd7413021d440b09d654f3b87712abab66,0x2913e812cf0dcca30fb28e6cac3d2dcff4497688,2022-03-10 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,nUSD,4.7766674961597515e+22,fantom,nUSD,18.0,47766.674961597506
41,in,0x049d68029688eabf473097a2fc38ef61633a3c7a,0x2913e812cf0dcca30fb28e6cac3d2dcff4497688,2022-03-10 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,Frapped USDT,37605747009.0,fantom,fUSDT,6.0,37605.747009
42,in,0xda87a2cf59e4a731f431dac124a1babefaf2b2f3,0x40fcbb53203afb640e716a9cc2d6720e36d9c9c9,2022-01-31 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,veToken,7273290000000.0,fantom,veToken,7.0,727329.0
43,in,0xda87a2cf59e4a731f431dac124a1babefaf2b2f3,0x0000000000000000000000000000000000000000,2022-01-31 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,veToken,7273290000000.0,fantom,veToken,7.0,727329.0
44,in,0x049d68029688eabf473097a2fc38ef61633a3c7a,0x080f6aed32fc474dd5717105dba5ea57268f46eb,2022-03-10 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,Frapped USDT,11757258186.0,fantom,fUSDT,6.0,11757.258186
45,in,0x049d68029688eabf473097a2fc38ef61633a3c7a,0x2913e812cf0dcca30fb28e6cac3d2dcff4497688,2021-11-28 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,Frapped USDT,6559119390.0,fantom,fUSDT,6.0,6559.11939
46,in,0xed2a7edd7413021d440b09d654f3b87712abab66,0xaf41a65f786339e7911f4acdad6bd49426f2dc6b,2022-03-09 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,nUSD,4.783916127653486e+23,fantom,nUSD,18.0,478391.6127653486
47,in,0x049d68029688eabf473097a2fc38ef61633a3c7a,0x080f6aed32fc474dd5717105dba5ea57268f46eb,2021-11-15 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,Frapped USDT,12841999443.0,fantom,fUSDT,6.0,12841.999442999999
48,in,0x049d68029688eabf473097a2fc38ef61633a3c7a,0x85662fd123280827e11c59973ac9fcbe838dc3b4,2023-05-24 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,Frapped USDT,37378053665.0,fantom,fUSDT,6.0,37378.053665
49,in,0xed2a7edd7413021d440b09d654f3b87712abab66,0x85662fd123280827e11c59973ac9fcbe838dc3b4,2022-03-10 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,nUSD,2.340277765358416e+22,fantom,nUSD,18.0,23402.777653584155
50,in,0xed2a7edd7413021d440b09d654f3b87712abab66,0x2913e812cf0dcca30fb28e6cac3d2dcff4497688,2021-11-28 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,nUSD,5.740040996441108e+21,fantom,nUSD,18.0,5740.040996441107
51,in,0x049d68029688eabf473097a2fc38ef61633a3c7a,0x85662fd123280827e11c59973ac9fcbe838dc3b4,2022-03-10 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,Frapped USDT,10124527932.0,fantom,fUSDT,6.0,10124.527931999999
52,in,0x049d68029688eabf473097a2fc38ef61633a3c7a,0x2913e812cf0dcca30fb28e6cac3d2dcff4497688,2021-11-15 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,Frapped USDT,3760980840.0,fantom,fUSDT,6.0,3760.9808399999997
54,in,0x724dbe4dbe0676269c87843b62b03e3efb51218d,0x431e81e5dfb5a24541b5ff8762bdef3f32f96354,2022-02-14 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,SolidEX,5.91573e+23,fantom,SEX,18.0,591573.0
55,in,0xccce97988377254850e2d9c51df15a382dee36e8,0x2d407ddb06311396fe14d4b49da5f0471447d45c,2022-02-11 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,veSOLID,7.27329e+26,fantom,SOLID,18.0,727328999.9999999
56,in,0x724dbe4dbe0676269c87843b62b03e3efb51218d,0x431e81e5dfb5a24541b5ff8762bdef3f32f96354,2022-02-14 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,SolidEX,7.27329e+23,fantom,SEX,18.0,727328.9999999999
60,in,0x3b6e5fa0322888b94dca443ce4f3785ac0001dfa,0x2d407ddb06311396fe14d4b49da5f0471447d45c,2022-02-23 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,Solidly,7.27329e+23,fantom,SOLID,18.0,727328.9999999999
69,in,0x67c10c397dd0ba417329543c1a40eb48aaa7cd00,0x8d9ba570d6cb60c7e3e0f31343efe75ab8e65fb1,2023-05-24 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,nETH,1.1615206097732736e+18,fantom,nETH,18.0,1.1615206097732735
70,in,0x67c10c397dd0ba417329543c1a40eb48aaa7cd00,0xaf41a65f786339e7911f4acdad6bd49426f2dc6b,2022-03-09 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,nETH,3.733860786786471e+19,fantom,nETH,18.0,37.33860786786471
71,in,0x67c10c397dd0ba417329543c1a40eb48aaa7cd00,0x8d9ba570d6cb60c7e3e0f31343efe75ab8e65fb1,2022-03-10 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,nETH,3.627120809618547e+18,fantom,nETH,18.0,3.6271208096185465
72,in,0x21be370d5312f44cb42ce377bc9b8a0cef1a4c83,0x037d2726971fb81a54b16a04565dc8d853052409,2022-03-23 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,Wrapped Fantom,3.936335238969382e+20,fantom,WFTM,18.0,393.63352389693813
73,in,0x21be370d5312f44cb42ce377bc9b8a0cef1a4c83,0x037d2726971fb81a54b16a04565dc8d853052409,2022-03-16 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,Wrapped Fantom,3.604509374623835e+20,fantom,WFTM,18.0,360.4509374623835
75,in,0x21be370d5312f44cb42ce377bc9b8a0cef1a4c83,0x037d2726971fb81a54b16a04565dc8d853052409,2022-04-13 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,Wrapped Fantom,4.900156075350055e+20,fantom,WFTM,18.0,490.0156075350055
76,in,0x04068da6c83afcfa0e13ba15a6696662335d5b75,0x879e748ec718717c7a33496b695c569f0901965d,2022-04-13 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,usdc-usd-coin,1017325381.0,fantom,usdc,6.0,1017.325381
77,in,0x04068da6c83afcfa0e13ba15a6696662335d5b75,0x879e748ec718717c7a33496b695c569f0901965d,2022-03-23 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,usdc-usd-coin,732239019.0,fantom,usdc,6.0,732.239019
78,in,0x04068da6c83afcfa0e13ba15a6696662335d5b75,0x080f6aed32fc474dd5717105dba5ea57268f46eb,2022-03-10 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,usdc-usd-coin,12676773090.0,fantom,usdc,6.0,12676.773089999999
79,in,0x04068da6c83afcfa0e13ba15a6696662335d5b75,0x080f6aed32fc474dd5717105dba5ea57268f46eb,2021-11-15 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,usdc-usd-coin,17933733919.0,fantom,usdc,6.0,17933.733919
80,in,0x04068da6c83afcfa0e13ba15a6696662335d5b75,0x2913e812cf0dcca30fb28e6cac3d2dcff4497688,2022-03-10 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,usdc-usd-coin,90785617598.0,fantom,usdc,6.0,90785.617598
81,in,0x04068da6c83afcfa0e13ba15a6696662335d5b75,0x85662fd123280827e11c59973ac9fcbe838dc3b4,2022-03-10 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,usdc-usd-coin,29352165053.0,fantom,usdc,6.0,29352.165052999997
82,in,0x74b23882a30290451a17c44f4f05243b6b58c76d,0x8d9ba570d6cb60c7e3e0f31343efe75ab8e65fb1,2022-03-10 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,weth-weth,4.5006662475661757e+18,fantom,weth,18.0,4.500666247566175
83,in,0x04068da6c83afcfa0e13ba15a6696662335d5b75,0x080f6aed32fc474dd5717105dba5ea57268f46eb,2023-05-24 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,usdc-usd-coin,37663289.0,fantom,usdc,6.0,37.663289
84,in,0x04068da6c83afcfa0e13ba15a6696662335d5b75,0x2913e812cf0dcca30fb28e6cac3d2dcff4497688,2021-11-28 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,usdc-usd-coin,11859067969.0,fantom,usdc,6.0,11859.067969
85,in,0x04068da6c83afcfa0e13ba15a6696662335d5b75,0x85662fd123280827e11c59973ac9fcbe838dc3b4,2023-05-24 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,usdc-usd-coin,59426120360.0,fantom,usdc,6.0,59426.12036
86,in,0x74b23882a30290451a17c44f4f05243b6b58c76d,0x8d9ba570d6cb60c7e3e0f31343efe75ab8e65fb1,2023-05-24 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,weth-weth,9.422866457299702e+17,fantom,weth,18.0,0.94228664572997
87,in,0x04068da6c83afcfa0e13ba15a6696662335d5b75,0x080f6aed32fc474dd5717105dba5ea57268f46eb,2022-03-09 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,usdc-usd-coin,4637192122.0,fantom,usdc,6.0,4637.1921219999995
88,in,0x04068da6c83afcfa0e13ba15a6696662335d5b75,0x879e748ec718717c7a33496b695c569f0901965d,2022-03-16 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,usdc-usd-coin,1236998132.0,fantom,usdc,6.0,1236.998132
89,in,0x04068da6c83afcfa0e13ba15a6696662335d5b75,0x2913e812cf0dcca30fb28e6cac3d2dcff4497688,2023-05-24 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,usdc-usd-coin,9366277923.0,fantom,usdc,6.0,9366.277923
90,in,0x04068da6c83afcfa0e13ba15a6696662335d5b75,0x2913e812cf0dcca30fb28e6cac3d2dcff4497688,2021-11-15 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,usdc-usd-coin,4915320680.0,fantom,usdc,6.0,4915.32068
91,from,0x04068da6c83afcfa0e13ba15a6696662335d5b75,0x224002428cf0ba45590e0022df4b06653058f22f,2022-03-10 00:00:00.000 UTC,0x0af91fa049a7e1894f480bfe5bba20142c6c29a9,usdc-usd-coin,169159870431.0,fantom,usdc,6.0,169159.870431
92,from,0x04068da6c83afcfa0e13ba15a6696662335d5b75,0x224002428cf0ba45590e0022df4b06653058f22f,2021-12-02 00:00:00.000 UTC,0xb3dad3c24a861b84fdf380b212662620627d4e15,usdc-usd-coin,3000000000.0,fantom,usdc,6.0,3000.0
93,from,0x74b23882a30290451a17c44f4f05243b6b58c76d,0x224002428cf0ba45590e0022df4b06653058f22f,2023-05-24 00:00:00.000 UTC,0x0d745ad687f2b1e1941569f09f612f60ad4ad5bc,weth-weth,5.442952893296146e+18,fantom,weth,18.0,5.4429528932961455
94,from,0x04068da6c83afcfa0e13ba15a6696662335d5b75,0x224002428cf0ba45590e0022df4b06653058f22f,2023-05-24 00:00:00.000 UTC,0x0d745ad687f2b1e1941569f09f612f60ad4ad5bc,usdc-usd-coin,71816624104.0,fantom,usdc,6.0,71816.624104
95,from,0x82f0b8b456c1a451378467398982d4834b6829c1,0x224002428cf0ba45590e0022df4b06653058f22f,2021-12-16 00:00:00.000 UTC,0x0af91fa049a7e1894f480bfe5bba20142c6c29a9,Magic Internet Money,1.648008522955679e+22,fantom,MIM,18.0,16480.08522955679
96,from,0x82f0b8b456c1a451378467398982d4834b6829c1,0x224002428cf0ba45590e0022df4b06653058f22f,2023-05-24 00:00:00.000 UTC,0x0d745ad687f2b1e1941569f09f612f60ad4ad5bc,Magic Internet Money,5.268668256973351e+21,fantom,MIM,18.0,5268.66825697335
97,from,0x82f0b8b456c1a451378467398982d4834b6829c1,0x224002428cf0ba45590e0022df4b06653058f22f,2022-03-10 00:00:00.000 UTC,0x0af91fa049a7e1894f480bfe5bba20142c6c29a9,Magic Internet Money,7.90617260896972e+22,fantom,MIM,18.0,79061.72608969719
98,from,0x43cf58380e69594fa2a5682de484ae00edd83e94,0x224002428cf0ba45590e0022df4b06653058f22f,2022-03-10 00:00:00.000 UTC,0x0000000000000000000000000000000000000000,USD LP,5.143903248232977e+22,fantom,USD-LP,18.0,51439.03248232977
99,from,0xed2a7edd7413021d440b09d654f3b87712abab66,0x224002428cf0ba45590e0022df4b06653058f22f,2021-12-20 00:00:00.000 UTC,0x0af91fa049a7e1894f480bfe5bba20142c6c29a9,nUSD,7.01063719965408e+22,fantom,nUSD,18.0,70106.3719965408
100,from,0x049d68029688eabf473097a2fc38ef61633a3c7a,0x224002428cf0ba45590e0022df4b06653058f22f,2023-05-24 00:00:00.000 UTC,0x0d745ad687f2b1e1941569f09f612f60ad4ad5bc,Frapped USDT,46464955636.0,fantom,fUSDT,6.0,46464.955636
101,from,0x049d68029688eabf473097a2fc38ef61633a3c7a,0x224002428cf0ba45590e0022df4b06653058f22f,2022-03-10 00:00:00.000 UTC,0x0af91fa049a7e1894f480bfe5bba20142c6c29a9,Frapped USDT,85183204126.0,fantom,fUSDT,6.0,85183.204126
102,from,0xed2a7edd7413021d440b09d654f3b87712abab66,0x224002428cf0ba45590e0022df4b06653058f22f,2022-03-10 00:00:00.000 UTC,0x0af91fa049a7e1894f480bfe5bba20142c6c29a9,nUSD,5.495610653805303e+23,fantom,nUSD,18.0,549561.0653805302
