,category,contract_address,from,time,to,token,value,blockchain,ticker,decimal,calc_value
10,in,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,0x5cfcd7e6d055ba4f7b998914336254ade3f69f26,2021-11-24 00:00:00.000 UTC,0xd7ada77aa0f82e6b3cf5bf9208b0e5e1826cd79c,Wrapped AVAX,23402164073107.0,avalanche,WAVAX,18.0,2.3402164073106996e-05
11,in,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,0x5cfcd7e6d055ba4f7b998914336254ade3f69f26,2021-12-03 00:00:00.000 UTC,0xd7ada77aa0f82e6b3cf5bf9208b0e5e1826cd79c,Wrapped AVAX,5717680179818876.0,avalanche,WAVAX,18.0,0.005717680179818875
12,in,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,0x5cfcd7e6d055ba4f7b998914336254ade3f69f26,2021-12-24 00:00:00.000 UTC,0xd7ada77aa0f82e6b3cf5bf9208b0e5e1826cd79c,Wrapped AVAX,2.7705464238131604e+18,avalanche,WAVAX,18.0,2.77054642381316
13,in,0x55904f416586b5140a0f666cf5acf320adf64846,0xf44938b0125a6662f9536281ad2cd6c499f22004,2021-11-14 00:00:00.000 UTC,0xd7ada77aa0f82e6b3cf5bf9208b0e5e1826cd79c,USD LP,6.515423423596424e+23,avalanche,USD-LP,18.0,651542.3423596424
14,in,0xcfc37a6ab183dd4aed08c204d1c2773c0b1bdf46,0xc05e61d0e7a63d27546389b7ad62fdff5a91aace,2021-12-02 00:00:00.000 UTC,0xd7ada77aa0f82e6b3cf5bf9208b0e5e1826cd79c,nUSD,9.37678992584352e+22,avalanche,nUSD,18.0,93767.89925843518
15,in,0xcfc37a6ab183dd4aed08c204d1c2773c0b1bdf46,0x0000000000000000000000000000000000000000,2021-11-15 00:00:00.000 UTC,0xd7ada77aa0f82e6b3cf5bf9208b0e5e1826cd79c,nUSD,8.247113e+24,avalanche,nUSD,18.0,8247112.999999999
16,in,0x321e7092a180bb43555132ec53aaa65a5bf84251,0x0000000000000000000000000000000000000000,2021-11-30 00:00:00.000 UTC,0xd7ada77aa0f82e6b3cf5bf9208b0e5e1826cd79c,Governance OHM,1.75e+20,avalanche,gOHM,18.0,174.99999999999997
17,in,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,0x5cfcd7e6d055ba4f7b998914336254ade3f69f26,2021-11-24 00:00:00.000 UTC,0xd7ada77aa0f82e6b3cf5bf9208b0e5e1826cd79c,Wrapped AVAX,2622539018816.0,avalanche,WAVAX,18.0,2.6225390188159995e-06
18,in,0xcfc37a6ab183dd4aed08c204d1c2773c0b1bdf46,0x8f0b51340fd61349ffb4fb32d0eeaacdcf6d7357,2021-11-14 00:00:00.000 UTC,0xd7ada77aa0f82e6b3cf5bf9208b0e5e1826cd79c,nUSD,6.543372302929781e+23,avalanche,nUSD,18.0,654337.230292978
19,in,0xcfc37a6ab183dd4aed08c204d1c2773c0b1bdf46,0xf44938b0125a6662f9536281ad2cd6c499f22004,2021-11-14 00:00:00.000 UTC,0xd7ada77aa0f82e6b3cf5bf9208b0e5e1826cd79c,nUSD,4.366355093904908e+23,avalanche,nUSD,18.0,436635.5093904907
20,in,0xcfc37a6ab183dd4aed08c204d1c2773c0b1bdf46,0x8f0b51340fd61349ffb4fb32d0eeaacdcf6d7357,2021-11-14 00:00:00.000 UTC,0xd7ada77aa0f82e6b3cf5bf9208b0e5e1826cd79c,nUSD,5.335273933043394e+23,avalanche,nUSD,18.0,533527.3933043394
21,in,0xcfc37a6ab183dd4aed08c204d1c2773c0b1bdf46,0xc05e61d0e7a63d27546389b7ad62fdff5a91aace,2021-10-08 00:00:00.000 UTC,0xd7ada77aa0f82e6b3cf5bf9208b0e5e1826cd79c,nUSD,4.3952899125321416e+21,avalanche,nUSD,18.0,4395.289912532141
22,in,0xd586e7f844cea2f87f50152665bcbc2c279d8d70,0xe55e19fb4f2d85af758950957714292dac1e25b2,2021-11-14 00:00:00.000 UTC,0xd7ada77aa0f82e6b3cf5bf9208b0e5e1826cd79c,Dai Stablecoin,1.0218968947995555e+23,avalanche,DAI.e,18.0,102189.68947995554
23,in,0x1f1e7c893855525b303f99bdf5c3c05be09ca251,0xc05e61d0e7a63d27546389b7ad62fdff5a91aace,2021-10-08 00:00:00.000 UTC,0xd7ada77aa0f82e6b3cf5bf9208b0e5e1826cd79c,Synapse,1.1976962548325104e+22,avalanche,SYN,18.0,11976.962548325104
24,in,0xa7d7079b0fead91f3e65f86e8915cb59c1a4c664,0xe55e19fb4f2d85af758950957714292dac1e25b2,2021-11-14 00:00:00.000 UTC,0xd7ada77aa0f82e6b3cf5bf9208b0e5e1826cd79c,USD Coin,374709146779.0,avalanche,USDC.e,6.0,374709.146779
25,in,0xc7198437980c041c805a1edcba50c1ce5db95118,0xe55e19fb4f2d85af758950957714292dac1e25b2,2021-11-14 00:00:00.000 UTC,0xd7ada77aa0f82e6b3cf5bf9208b0e5e1826cd79c,Tether USD,57730373425.0,avalanche,USDT.e,6.0,57730.373425
