,category,contract_address,from,time,to,token,value,blockchain,ticker,decimal,calc_value
14,in,0xbaac2b4491727d78d2b78815144570b9f2fe8899,0x2796317b0ff8538f253012862c06787adfb8ceb6,2023-02-07 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,The Doge NFT,1e+23,ethereum,DOG,18.0,99999.99999999999
15,from,0x1b84765de8b7566e4ceaf4d0fd3c5af52d3dde4f,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,2023-04-06 00:00:00.000 UTC,0xffb57ddc67443637802015214e7267326dbfacb4,nUSD,1.2e+22,ethereum,nUSD,18.0,11999.999999999998
16,from,0x1b84765de8b7566e4ceaf4d0fd3c5af52d3dde4f,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,2021-12-31 00:00:00.000 UTC,0x0af91fa049a7e1894f480bfe5bba20142c6c29a9,nUSD,6e+22,ethereum,nUSD,18.0,59999.99999999999
17,in,0xc7283b66eb1eb5fb86327f08e1b5816b0720212b,0x9e1076cc0d19f9b0b8019f384b0a29e48ee46f7f,2021-12-06 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,Tribe,7.616101962616822e+21,ethereum,TRIBE,18.0,7616.101962616822
18,from,0xc7283b66eb1eb5fb86327f08e1b5816b0720212b,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,2022-03-20 00:00:00.000 UTC,0x9928e4046d7c6513326ccea028cd3e7a91c7590a,Tribe,4e+23,ethereum,TRIBE,18.0,399999.99999999994
19,from,0xc7283b66eb1eb5fb86327f08e1b5816b0720212b,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,2022-03-27 00:00:00.000 UTC,0x9928e4046d7c6513326ccea028cd3e7a91c7590a,Tribe,7.015811226988642e+23,ethereum,TRIBE,18.0,701581.1226988641
20,from,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,2022-07-04 00:00:00.000 UTC,0xeaca6143f6802e37008c53e44323f53093318e9b,USD Coin,30445800000.0,ethereum,USDC,6.0,30445.8
21,from,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,2023-06-08 00:00:00.000 UTC,0x6126ba8ac906e7e15095392ad6ea03c48adceace,USD Coin,300000000000.0,ethereum,USDC,6.0,300000.0
22,from,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,2022-04-02 00:00:00.000 UTC,0x44a1f8afe5e3cac9b8a09efbc2b00ef5013cfe26,USD Coin,1097000000.0,ethereum,USDC,6.0,1097.0
23,in,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x2796317b0ff8538f253012862c06787adfb8ceb6,2021-10-13 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,Wrapped Ether,2.0275510036787415e+18,ethereum,WETH,18.0,2.027551003678741
24,in,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x2796317b0ff8538f253012862c06787adfb8ceb6,2022-07-04 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,USD Coin,11236178215.0,ethereum,USDC,6.0,11236.178215
25,in,0xbaac2b4491727d78d2b78815144570b9f2fe8899,0x2796317b0ff8538f253012862c06787adfb8ceb6,2022-01-20 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,The Doge NFT,6.75e+23,ethereum,DOG,18.0,674999.9999999999
26,in,0xbaac2b4491727d78d2b78815144570b9f2fe8899,0x2796317b0ff8538f253012862c06787adfb8ceb6,2022-03-09 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,The Doge NFT,4e+22,ethereum,DOG,18.0,39999.99999999999
27,in,0xbaac2b4491727d78d2b78815144570b9f2fe8899,0x2796317b0ff8538f253012862c06787adfb8ceb6,2022-02-18 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,The Doge NFT,1.25e+23,ethereum,DOG,18.0,124999.99999999999
28,in,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x2796317b0ff8538f253012862c06787adfb8ceb6,2022-12-13 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,USD Coin,10964424905.0,ethereum,USDC,6.0,10964.424905
29,in,0xbaac2b4491727d78d2b78815144570b9f2fe8899,0x2796317b0ff8538f253012862c06787adfb8ceb6,2023-06-29 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,The Doge NFT,2.7e+23,ethereum,DOG,18.0,269999.99999999994
30,in,0x18f00d0d352f14ef0b94bbddbf507b12705fb316,0x0af91fa049a7e1894f480bfe5bba20142c6c29a9,2023-02-03 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,Synapse Chain,3.24778534324556e+17,ethereum,SNC,9.0,324778534.324556
31,in,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x0af91fa049a7e1894f480bfe5bba20142c6c29a9,2021-10-14 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,USD Coin,25874908326.0,ethereum,USDC,6.0,25874.908325999997
32,in,0xbaac2b4491727d78d2b78815144570b9f2fe8899,0x2796317b0ff8538f253012862c06787adfb8ceb6,2022-03-20 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,The Doge NFT,5e+21,ethereum,DOG,18.0,4999.999999999999
33,in,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x1111111254fb6c44bac0bed2854e76f90643097d,2022-03-27 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,USD Coin,393588360175.0,ethereum,USDC,6.0,393588.360175
34,in,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x2796317b0ff8538f253012862c06787adfb8ceb6,2022-09-19 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,USD Coin,54572700996.0,ethereum,USDC,6.0,54572.700996
35,in,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x0af91fa049a7e1894f480bfe5bba20142c6c29a9,2022-03-16 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,USD Coin,548717665459.0,ethereum,USDC,6.0,548717.6654589999
36,in,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x1116898dda4015ed8ddefb84b6e8bc24528af2d8,2021-11-25 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,USD Coin,9613667242.0,ethereum,USDC,6.0,9613.667242
38,in,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x1116898dda4015ed8ddefb84b6e8bc24528af2d8,2023-02-07 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,USD Coin,5938578286.0,ethereum,USDC,6.0,5938.578286
39,in,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x1116898dda4015ed8ddefb84b6e8bc24528af2d8,2022-07-04 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,USD Coin,88897301488.0,ethereum,USDC,6.0,88897.301488
40,in,0xbaac2b4491727d78d2b78815144570b9f2fe8899,0x2796317b0ff8538f253012862c06787adfb8ceb6,2022-12-13 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,The Doge NFT,3.85e+23,ethereum,DOG,18.0,385000.0
41,in,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x1116898dda4015ed8ddefb84b6e8bc24528af2d8,2021-11-15 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,USD Coin,882848776.0,ethereum,USDC,6.0,882.8487759999999
42,in,0xbaac2b4491727d78d2b78815144570b9f2fe8899,0x2796317b0ff8538f253012862c06787adfb8ceb6,2022-04-11 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,The Doge NFT,2.3e+23,ethereum,DOG,18.0,229999.99999999997
43,in,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x3416cf6c708da44db2624d63ea0aaef7113527c6,2022-03-10 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,USD Coin,52756967850.0,ethereum,USDC,6.0,52756.96785
44,in,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc63b0708e2f7e69cb8a1df0e1389a98c35a76d52,2022-03-10 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,USD Coin,17293377197.0,ethereum,USDC,6.0,17293.377196999998
45,in,0x4eb8b4c65d8430647586cf44af4bf23ded2bb794,0xa448833bece66fd8803ac0c390936c79b5fd6edf,2022-02-22 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,Frax Price Index Share,3.421893666265602e+23,ethereum,FPIS,18.0,342189.36662656016
46,in,0xbaac2b4491727d78d2b78815144570b9f2fe8899,0x2796317b0ff8538f253012862c06787adfb8ceb6,2022-07-04 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,The Doge NFT,8.5e+22,ethereum,DOG,18.0,84999.99999999999
47,in,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x0d745ad687f2b1e1941569f09f612f60ad4ad5bc,2023-05-24 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,USD Coin,254430865241.0,ethereum,USDC,6.0,254430.865241
48,in,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x2796317b0ff8538f253012862c06787adfb8ceb6,2023-02-07 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,USD Coin,2841051847.0,ethereum,USDC,6.0,2841.0518469999997
49,in,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x1116898dda4015ed8ddefb84b6e8bc24528af2d8,2022-03-09 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,USD Coin,79677667620.0,ethereum,USDC,6.0,79677.66762
50,in,0xbaac2b4491727d78d2b78815144570b9f2fe8899,0x2796317b0ff8538f253012862c06787adfb8ceb6,2022-09-19 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,The Doge NFT,2.4e+23,ethereum,DOG,18.0,239999.99999999997
51,in,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x2796317b0ff8538f253012862c06787adfb8ceb6,2023-06-29 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,USD Coin,3468972595.0,ethereum,USDC,6.0,3468.9725949999997
52,in,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x1116898dda4015ed8ddefb84b6e8bc24528af2d8,2022-12-13 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,USD Coin,89144437148.0,ethereum,USDC,6.0,89144.437148
53,in,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x5777d92f208679db4b9778590fa3cab3ac9e2168,2022-03-10 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,USD Coin,583887002447.0,ethereum,USDC,6.0,583887.002447
54,in,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x2796317b0ff8538f253012862c06787adfb8ceb6,2023-05-04 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,USD Coin,501826535861.0,ethereum,USDC,6.0,501826.53586099995
55,in,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x1116898dda4015ed8ddefb84b6e8bc24528af2d8,2021-11-12 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,USD Coin,25891956785.0,ethereum,USDC,6.0,25891.956785
56,in,0xbaac2b4491727d78d2b78815144570b9f2fe8899,0x2796317b0ff8538f253012862c06787adfb8ceb6,2022-02-02 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,The Doge NFT,3.5e+22,ethereum,DOG,18.0,35000.0
57,in,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x1111111254fb6c44bac0bed2854e76f90643097d,2022-03-20 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,USD Coin,218579450301.0,ethereum,USDC,6.0,218579.450301
58,from,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,2022-05-09 00:00:00.000 UTC,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,USD Coin,325788475935.0,ethereum,USDC,6.0,325788.475935
59,from,0x1b84765de8b7566e4ceaf4d0fd3c5af52d3dde4f,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,2022-01-06 00:00:00.000 UTC,0x0af91fa049a7e1894f480bfe5bba20142c6c29a9,nUSD,4e+22,ethereum,nUSD,18.0,39999.99999999999
60,from,0x1b84765de8b7566e4ceaf4d0fd3c5af52d3dde4f,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,2022-04-11 00:00:00.000 UTC,0x0000000000000000000000000000000000000000,nUSD,3.5302818873567087e+23,ethereum,nUSD,18.0,353028.1887356708
61,from,0x1b84765de8b7566e4ceaf4d0fd3c5af52d3dde4f,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,2022-05-03 00:00:00.000 UTC,0x804af23ae26310e85578c0189f7406e713e916cc,nUSD,2e+22,ethereum,nUSD,18.0,19999.999999999996
62,from,0x1b84765de8b7566e4ceaf4d0fd3c5af52d3dde4f,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,2022-03-28 00:00:00.000 UTC,0xb3dad3c24a861b84fdf380b212662620627d4e15,nUSD,1.5e+22,ethereum,nUSD,18.0,14999.999999999998
63,from,0x1b84765de8b7566e4ceaf4d0fd3c5af52d3dde4f,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,2022-05-10 00:00:00.000 UTC,0x0000000000000000000000000000000000000000,nUSD,6e+22,ethereum,nUSD,18.0,59999.99999999999
64,from,0x1b84765de8b7566e4ceaf4d0fd3c5af52d3dde4f,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,2023-02-10 00:00:00.000 UTC,0x0d745ad687f2b1e1941569f09f612f60ad4ad5bc,nUSD,2e+23,ethereum,nUSD,18.0,199999.99999999997
65,from,0x1b84765de8b7566e4ceaf4d0fd3c5af52d3dde4f,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,2022-09-20 00:00:00.000 UTC,0x6126ba8ac906e7e15095392ad6ea03c48adceace,nUSD,3e+23,ethereum,nUSD,18.0,300000.0
66,from,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,2023-01-19 00:00:00.000 UTC,0x0d745ad687f2b1e1941569f09f612f60ad4ad5bc,USD Coin,36400442752.0,ethereum,USDC,6.0,36400.442751999995
67,from,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,2022-10-03 00:00:00.000 UTC,0x4d30a0e0b68f6d7ea98e0c76ac178f1f5eac0302,USD Coin,30000000000.0,ethereum,USDC,6.0,30000.0
68,from,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,2021-10-24 00:00:00.000 UTC,0x348ee8db6fdd575fc52114e33286392b4dfa69f6,USD Coin,3207000000.0,ethereum,USDC,6.0,3207.0
69,from,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,2022-03-20 00:00:00.000 UTC,0x0af91fa049a7e1894f480bfe5bba20142c6c29a9,USD Coin,250000000000.0,ethereum,USDC,6.0,250000.0
70,from,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,2023-06-06 00:00:00.000 UTC,0x6126ba8ac906e7e15095392ad6ea03c48adceace,USD Coin,300000000.0,ethereum,USDC,6.0,300.0
71,from,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,2022-03-10 00:00:00.000 UTC,0x0af91fa049a7e1894f480bfe5bba20142c6c29a9,USD Coin,733615015114.0,ethereum,USDC,6.0,733615.015114
72,from,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,2023-06-29 00:00:00.000 UTC,0x6ebe2bf67034438725e76e35c0a5f4a55b8e6848,USD Coin,30000000000.0,ethereum,USDC,6.0,30000.0
73,from,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,2022-03-16 00:00:00.000 UTC,0x348ee8db6fdd575fc52114e33286392b4dfa69f6,USD Coin,184000000000.0,ethereum,USDC,6.0,184000.0
74,from,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,2022-07-25 00:00:00.000 UTC,0xfe440a99d2c442f1714e84d6fe27293282e0117b,USD Coin,16667000000.0,ethereum,USDC,6.0,16667.0
75,from,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,2022-10-03 00:00:00.000 UTC,0x32d958c68fbf235e3bf9b4326d5640cc836e67d9,USD Coin,30000000000.0,ethereum,USDC,6.0,30000.0
76,from,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,2023-05-04 00:00:00.000 UTC,0x6126ba8ac906e7e15095392ad6ea03c48adceace,USD Coin,300000000000.0,ethereum,USDC,6.0,300000.0
77,from,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,2021-11-12 00:00:00.000 UTC,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,USD Coin,27559865111.0,ethereum,USDC,6.0,27559.865111
78,from,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,2022-01-10 00:00:00.000 UTC,0x0af91fa049a7e1894f480bfe5bba20142c6c29a9,USD Coin,10496516018.0,ethereum,USDC,6.0,10496.516018
79,from,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,2022-07-05 00:00:00.000 UTC,0x1454b942e35f3796b66e72f16313816c5b30b1ba,USD Coin,18538210000.0,ethereum,USDC,6.0,18538.21
80,from,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,2022-07-07 00:00:00.000 UTC,0xb3dad3c24a861b84fdf380b212662620627d4e15,USD Coin,25000000000.0,ethereum,USDC,6.0,25000.0
81,from,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,2022-03-28 00:00:00.000 UTC,0x0af91fa049a7e1894f480bfe5bba20142c6c29a9,USD Coin,400000000000.0,ethereum,USDC,6.0,400000.0
82,from,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,2023-06-08 00:00:00.000 UTC,0x08974a131b93322e4394242bd6ad04cecd41fdb3,USD Coin,86681680000.0,ethereum,USDC,6.0,86681.68
83,from,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,2021-10-14 00:00:00.000 UTC,0x348ee8db6fdd575fc52114e33286392b4dfa69f6,USD Coin,21000000000.0,ethereum,USDC,6.0,21000.0
84,from,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,2022-12-13 00:00:00.000 UTC,0xa43c51aacae41aec73e1eff2d13d69ed13de8dab,USD Coin,67763590000.0,ethereum,USDC,6.0,67763.59
85,in,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x2796317b0ff8538f253012862c06787adfb8ceb6,2021-11-22 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,Wrapped Ether,9.08322981603367e+18,ethereum,WETH,18.0,9.083229816033668
86,in,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x2796317b0ff8538f253012862c06787adfb8ceb6,2023-06-29 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,Wrapped Ether,5.5307487535184765e+19,ethereum,WETH,18.0,55.307487535184755
88,in,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x2796317b0ff8538f253012862c06787adfb8ceb6,2021-10-15 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,Wrapped Ether,2.0773976371271122e+18,ethereum,WETH,18.0,2.077397637127112
89,in,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x2796317b0ff8538f253012862c06787adfb8ceb6,2021-11-17 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,Wrapped Ether,3.1262854988965975e+18,ethereum,WETH,18.0,3.126285498896597
90,in,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x2796317b0ff8538f253012862c06787adfb8ceb6,2021-10-06 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,Wrapped Ether,9.794185893044617e+18,ethereum,WETH,18.0,9.794185893044617
91,in,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x2796317b0ff8538f253012862c06787adfb8ceb6,2022-02-18 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,Wrapped Ether,7.310703339718025e+19,ethereum,WETH,18.0,73.10703339718025
92,in,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x2796317b0ff8538f253012862c06787adfb8ceb6,2021-10-29 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,Wrapped Ether,3.4387927925909903e+18,ethereum,WETH,18.0,3.43879279259099
93,in,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x2796317b0ff8538f253012862c06787adfb8ceb6,2021-11-19 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,Wrapped Ether,3.374571164445668e+18,ethereum,WETH,18.0,3.3745711644456673
94,in,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x2796317b0ff8538f253012862c06787adfb8ceb6,2022-02-02 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,Wrapped Ether,1.7614886157296003e+20,ethereum,WETH,18.0,176.14886157296002
95,in,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x2796317b0ff8538f253012862c06787adfb8ceb6,2021-10-19 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,Wrapped Ether,5.50397133839212e+18,ethereum,WETH,18.0,5.50397133839212
96,in,0x622236bb180256b6ae1a935dae08dc0356141632,0x6da5f047b1ec9e822f132efdf02e76eddf29dbf5,2022-07-13 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,Mirror Write Token,1e+18,ethereum,WRITE,18.0,0.9999999999999999
97,in,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x2796317b0ff8538f253012862c06787adfb8ceb6,2023-02-07 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,Wrapped Ether,7.03346970836383e+19,ethereum,WETH,18.0,70.33469708363829
98,in,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x2796317b0ff8538f253012862c06787adfb8ceb6,2021-12-07 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,Wrapped Ether,1.6338722998244205e+19,ethereum,WETH,18.0,16.3387229982442
